estado_de_suscripcion,visualizaciones,tiempo_de_visualizacion_(horas),duracion_media_de_las_visualizaciones,fecha_publicacion,nombre_video
No suscrito,446,39.1054,0:05:15,20220614,✍🏼 Si APRENDES esta TÉCNICA puedes CREAR LOGOS como un PRO ▶ TUTORIAL CorelDRAW
Total,962,44.1079,0:02:45,20210921,🖱 EFECTO de PROYECCIÓN BÁSICA ▶ Tips para DISEÑAR en CorelDRAW
Suscrito,660,30.0664,0:02:43,20210921,🖱 EFECTO de PROYECCIÓN BÁSICA ▶ Tips para DISEÑAR en CorelDRAW
No suscrito,302,14.0415,0:02:47,20210921,🖱 EFECTO de PROYECCIÓN BÁSICA ▶ Tips para DISEÑAR en CorelDRAW
Total,5936,243.6507,0:02:27,20210520,👉 Estas son las PRINCIPALES HERRAMIENTAS 🛠 de Corel Draw ▶
No suscrito,4336,178.8258,0:02:28,20210520,👉 Estas son las PRINCIPALES HERRAMIENTAS 🛠 de Corel Draw ▶
Suscrito,1600,64.8249,0:02:25,20210520,👉 Estas son las PRINCIPALES HERRAMIENTAS 🛠 de Corel Draw ▶
Total,939,47.1552,0:03:00,20210701,🔥 CorelDRAW BEST Techniques for BEGINNERS & EXPERTS Tutorial ▶ SnowFlake ❄ (2021) 👉🏼
Suscrito,731,35.1489,0:02:53,20210701,🔥 CorelDRAW BEST Techniques for BEGINNERS & EXPERTS Tutorial ▶ SnowFlake ❄ (2021) 👉🏼
No suscrito,208,12.0063,0:03:27,20210701,🔥 CorelDRAW BEST Techniques for BEGINNERS & EXPERTS Tutorial ▶ SnowFlake ❄ (2021) 👉🏼
Total,476,2.4621,0:00:18,20210810,Quieres saber CÓMO se HACE este logo
Suscrito,373,1.9004,0:00:18,20210810,Quieres saber CÓMO se HACE este logo
No suscrito,103,0.5617,0:00:19,20210810,Quieres saber CÓMO se HACE este logo
Total,1187,12.2984,0:00:37,20210819,Speedrun LOGO MAKER Tutorial (1min)
Suscrito,612,7.1298,0:00:41,20210819,Speedrun LOGO MAKER Tutorial (1min)
No suscrito,575,5.1686,0:00:32,20210819,Speedrun LOGO MAKER Tutorial (1min)
Total,1697,80.1163,0:02:49,20210722,🔥 CorelDRAW GREAT Techniques for Beginners & Experts ▶ LOGO TUTORIAL (🌸+♻)
Suscrito,1088,52.9294,0:02:55,20210722,🔥 CorelDRAW GREAT Techniques for Beginners & Experts ▶ LOGO TUTORIAL (🌸+♻)
No suscrito,609,27.1869,0:02:40,20210722,🔥 CorelDRAW GREAT Techniques for Beginners & Experts ▶ LOGO TUTORIAL (🌸+♻)
Total,1486,66.1176,0:02:40,20210812,🔥 CorelDRAW KEY Techniques for Beginners & Experts ▶ LOGO TUTORIAL
Suscrito,1182,53.0,0:02:41,20210812,🔥 CorelDRAW KEY Techniques for Beginners & Experts ▶ LOGO TUTORIAL
No suscrito,304,13.1176,0:02:35,20210812,🔥 CorelDRAW KEY Techniques for Beginners & Experts ▶ LOGO TUTORIAL
Total,1759,101.0199,0:03:26,20211026,🐝 ESTA es la FORMA INTELIGENTE 😱 de usar la GEOMETRÍA para DISEÑAR ▶ CorelDRAW
Suscrito,1271,77.906,0:03:40,20211026,🐝 ESTA es la FORMA INTELIGENTE 😱 de usar la GEOMETRÍA para DISEÑAR ▶ CorelDRAW
No suscrito,488,23.114,0:02:50,20211026,🐝 ESTA es la FORMA INTELIGENTE 😱 de usar la GEOMETRÍA para DISEÑAR ▶ CorelDRAW
Total,996,63.5885,0:03:49,20210413,🔴 Tutorial PERSPECTIVA de 3 puntos de fuga (vista de AVE 🕊) ▷ CorelDRAW 2021 de DelcaVideography
Suscrito,574,38.3607,0:04:00,20210413,🔴 Tutorial PERSPECTIVA de 3 puntos de fuga (vista de AVE 🕊) ▷ CorelDRAW 2021 de DelcaVideography
No suscrito,422,25.2278,0:03:35,20210413,🔴 Tutorial PERSPECTIVA de 3 puntos de fuga (vista de AVE 🕊) ▷ CorelDRAW 2021 de DelcaVideography
Total,4460,124.9825,0:01:40,20210323,🌟 Ahora puedes EXPORTAR VARIAS IMÁGENES en un PASO con CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
No suscrito,3566,99.2975,0:01:40,20210323,🌟 Ahora puedes EXPORTAR VARIAS IMÁGENES en un PASO con CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
Suscrito,894,25.685,0:01:43,20210323,🌟 Ahora puedes EXPORTAR VARIAS IMÁGENES en un PASO con CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
Total,584,5.8118,0:00:35,20210924,😊  Te ENSEÑO archivo de Trabajo en CorelDRAW
Suscrito,512,5.0686,0:00:35,20210924,😊  Te ENSEÑO archivo de Trabajo en CorelDRAW
No suscrito,72,0.7432,0:00:37,20210924,😊  Te ENSEÑO archivo de Trabajo en CorelDRAW
Total,1609,70.5007,0:02:37,20210706,🔥 CorelDRAW Best Geometry Tricks Logo TUTORIAL ▶▶ MICROSOFT EDGE 👉🏼
Suscrito,931,41.8152,0:02:41,20210706,🔥 CorelDRAW Best Geometry Tricks Logo TUTORIAL ▶▶ MICROSOFT EDGE 👉🏼
No suscrito,678,28.6854,0:02:32,20210706,🔥 CorelDRAW Best Geometry Tricks Logo TUTORIAL ▶▶ MICROSOFT EDGE 👉🏼
Total,3674,234.8777,0:03:50,20220217,😎 DOMINA estas TÉCNICAS de DISEÑO para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Suscrito,1992,138.2525,0:04:09,20220217,😎 DOMINA estas TÉCNICAS de DISEÑO para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
No suscrito,1682,96.6253,0:03:26,20220217,😎 DOMINA estas TÉCNICAS de DISEÑO para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Total,1591,138.6238,0:05:13,20220510,⚡ DISEÑA el LOGO GRATIS para TU NEGOCIO en CorelDRAW  ▶ TUTORIAL
Suscrito,1133,97.0956,0:05:08,20220510,⚡ DISEÑA el LOGO GRATIS para TU NEGOCIO en CorelDRAW  ▶ TUTORIAL
No suscrito,458,41.5282,0:05:26,20220510,⚡ DISEÑA el LOGO GRATIS para TU NEGOCIO en CorelDRAW  ▶ TUTORIAL
Total,2699,242.7542,0:05:23,20220322,✨✔ CONOCE el PASO a PASO para CREAR este LOGO en CorelDRAW ▶ TUTORIAL
Suscrito,1653,137.134,0:04:58,20220322,✨✔ CONOCE el PASO a PASO para CREAR este LOGO en CorelDRAW ▶ TUTORIAL
No suscrito,1046,105.6202,0:06:03,20220322,✨✔ CONOCE el PASO a PASO para CREAR este LOGO en CorelDRAW ▶ TUTORIAL
Total,1328,131.4338,0:05:56,20220816,⭐ 7 TIPS INDISPENSABLES para DISEÑAR en CorelDRAW ▶ TUTORIAL
Suscrito,980,92.9994,0:05:41,20220816,⭐ 7 TIPS INDISPENSABLES para DISEÑAR en CorelDRAW ▶ TUTORIAL
No suscrito,348,38.4343,0:06:37,20220816,⭐ 7 TIPS INDISPENSABLES para DISEÑAR en CorelDRAW ▶ TUTORIAL
Total,1575,13.1204,0:00:29,20220225,🏃🏼_♂️🚴🏼_♂️Así CREAS LOGOS en CorelDRAW como un PRO
No suscrito,1178,9.5448,0:00:29,20220225,🏃🏼_♂️🚴🏼_♂️Así CREAS LOGOS en CorelDRAW como un PRO
Suscrito,397,3.5757,0:00:32,20220225,🏃🏼_♂️🚴🏼_♂️Así CREAS LOGOS en CorelDRAW como un PRO
Total,891,34.521,0:02:19,20210708,🔥 CorelDRAW BEST Techniques for Beginner & Experts TUTORIAL ▶ S Loop (2021) 👉🏼
Suscrito,720,27.9692,0:02:19,20210708,🔥 CorelDRAW BEST Techniques for Beginner & Experts TUTORIAL ▶ S Loop (2021) 👉🏼
No suscrito,171,6.5518,0:02:17,20210708,🔥 CorelDRAW BEST Techniques for Beginner & Experts TUTORIAL ▶ S Loop (2021) 👉🏼
Total,1796,89.6495,0:02:59,20211021,✒️ + 🐧Aprende a COMBINAR CONCEPTOS 😏 para DISEÑAR en CorelDRAW
Suscrito,1421,71.7754,0:03:01,20211021,✒️ + 🐧Aprende a COMBINAR CONCEPTOS 😏 para DISEÑAR en CorelDRAW
No suscrito,375,17.8742,0:02:51,20211021,✒️ + 🐧Aprende a COMBINAR CONCEPTOS 😏 para DISEÑAR en CorelDRAW
Total,1430,78.4329,0:03:17,20210729,🔥 CorelDRAW AMAZING Techniques for Beginners & Experts ▶ LOGO TUTORIAL
Suscrito,777,44.8663,0:03:27,20210729,🔥 CorelDRAW AMAZING Techniques for Beginners & Experts ▶ LOGO TUTORIAL
No suscrito,653,33.5665,0:03:05,20210729,🔥 CorelDRAW AMAZING Techniques for Beginners & Experts ▶ LOGO TUTORIAL
Total,1286,36.6153,0:01:42,20210420,🔴 Cómo funciona la PERSPECTIVA de 2 PUNTOS de FUGA  ▷ Tutorial  CorelDRAW 2021 de DelcaVideography
No suscrito,665,18.0209,0:01:37,20210420,🔴 Cómo funciona la PERSPECTIVA de 2 PUNTOS de FUGA  ▷ Tutorial  CorelDRAW 2021 de DelcaVideography
Suscrito,621,18.5944,0:01:47,20210420,🔴 Cómo funciona la PERSPECTIVA de 2 PUNTOS de FUGA  ▷ Tutorial  CorelDRAW 2021 de DelcaVideography
